"","player","avg_error","count"
"1","46277;42094",72.2230473330198,1
"2","43304",12.802998871426,1
"3","43446",11.2629292992708,1
"4","46120",11.0964981570662,2
"5","45599",8.67573082435757,4
"6","42543",8.54476096994631,2
"7","46270",7.77998649571297,5
"8","40305",7.5602978805384,4
"9","52429",6.59868550321831,2
"10","42794",6.45008867813287,50
"11","44837",6.27697572283879,35
"12","47932",5.98717555935757,23
"13","48504",5.76856213096222,3
"14","45032",5.75147822152966,1
"15","46506",5.67146892927372,12
"16","41292",5.31422793166858,7
"17","53000",5.29558361463998,1
"18","42935",5.21995093426606,1
"19","36071",5.07783742474453,16
"20","46707",5.05907976009344,1
"21","45039",5.03820309478192,13
"22","35527",4.98545661369394,54
"23","52619",4.92441833716555,1
"24","41353",4.86266998135605,16
"25","44830",4.850451738539,13
"26","46279",4.7779999789628,20
"27","46256",4.65082429904942,33
"28","40017",4.54843198275453,1
"29","46173",4.53139136994099,32
"30","52500",4.34144456961727,4
"31","45150",4.24428613793288,36
"32","46532",4.23240416409055,6
"33","43454",4.07326900939891,6
"34","43408",3.9658882801749,36
"35","44932",3.96323139192059,37
"36","43349",3.9175058752989,25
"37","34683",3.8835453973914,12
"38","31517",3.87516784778379,10
"39","48505",3.76146596644726,1
"40","42051",3.73341443478741,25
"41","48415",3.69388584091708,39
"42","53098",3.6826814006129,8
"43","48988",3.63565370639492,33
"44","42448",3.53470518455786,2
"45","41238",3.51114595435205,5
"46","46213",3.37140933191742,1
"47","46211",3.17706988605105,9
"48","44923",3.14244409274578,28
"49","38757",3.1252090403319,4
"50","43475",2.95661166454312,32
"51","46174",2.91714734375536,4
"52","48304",2.71219243570513,1
"53","43556",2.59480320953832,29
"54","46099",2.58044004929101,8
"55","42899",2.57422767484894,11
"56","41418",2.51381328289733,10
"57","48480",2.46466522942738,4
"58","44978",2.46291958595602,34
"59","46830",2.45757515862084,14
"60","45555",2.24905618940788,7
"61","46113",2.23497543331133,5
"62","43663",2.164339499485,50
"63","37078",2.16036175974797,3
"64","43948",2.04126889887863,15
"65","46683",2.02062967499302,11
"66","43584",1.97962081942681,23
"67","52609",1.95154077430846,20
"68","46309",1.91838616435454,31
"69","44964",1.86851513407755,39
"70","44992",1.85648117956656,4
"71","43495",1.81618151770685,1
"72","45607",1.81476973986862,23
"73","47849",1.80963233384743,14
"74","43310",1.77539547455068,1
"75","33130",1.77529278337078,4
"76","40130",1.74499944795709,41
"77","37251",1.73756083659683,22
"78","46114",1.72384834446565,2
"79","29957",1.70898697602648,17
"80","44879",1.70764826918792,13
"81","52628",1.64222077564394,8
"82","38613",1.47780106666905,9
"83","33566",1.46948716799135,16
"84","44990",1.419184348112,15
"85","52595",1.41463584130681,13
"86","37139",1.39805350695776,8
"87","42573",1.39560370870512,1
"88","52425",1.30236071742231,13
"89","48051",1.23520397475475,18
"90","52433",1.2232451820204,1
"91","46172",1.13795314486495,6
"92","48784",1.06016812902497,22
"93","45900",1.031138773137,17
"94","46744",0.976322376080335,4
"95","45272",0.9651367894906,6
"96","46087",0.901108722110695,1
"97","46116",0.886602416188157,35
"98","43406",0.879894380590899,27
"99","44123",0.861043730258364,4
"100","44985",0.827434806637225,12
"101","48646",0.818679181417191,4
"102","46182",0.816647419030679,2
"103","46534",0.570472919213948,7
"104","44881",0.566111506175097,6
"105","46325",0.535587308334263,15
"106","43452",0.443654122135444,20
"107","40092",0.270383937903043,1
"108","47839",0.221639529746706,28
"109","46459",0.194286599257647,8
"110","38947",0.181226209237966,8
"111","40107",0.17777207257222,9
"112","35499",0.110286597716924,15
"113","43563",0.0458472159431165,2
"114","44946",0.0145936178017298,23
"115","46093",-0.136444023220131,10
"116","46277",-0.600582029034889,5
"117","42450",-0.688256405585862,14
"118","42412",-0.823324828418132,28
"119","47605",-0.843506448294537,3
"120","44029",-0.852229187614182,23
"121","46265",-1.0708712418959,3
"122","44074",-1.07110617685306,3
"123","42482",-1.10166861068155,2
"124","45858",-1.10503048575992,2
"125","44045",-1.17181152036675,5
"126","52454",-1.34891427110393,2
"127","43415",-1.3794105867671,1
"128","46310",-1.41203182783091,9
"129","43010",-1.6317840885454,18
"130","45334",-1.87474281811214,8
"131","35634",-1.91745438916599,1
"132","53044",-2.16263228231721,1
"133","39954",-2.44160125680729,18
"134","32202",-2.50500981192723,2
"135","42527",-2.56717611526878,3
"136","37228",-2.73295767822027,2
"137","45244",-2.76741873380606,1
"138","52631",-2.91474576322347,2
"139","38630",-2.93155321154627,2
"140","48030",-2.98816036705373,1
"141","46509",-3.05026309913054,4
"142","47845",-3.08837880384257,1
"143","34534",-3.10147955065135,1
"144","42363",-3.19494470497203,2
"145","46836",-3.38910875349953,2
"146","33097",-3.71073772774382,1
"147","46367",-3.72456313567076,1
"148","46239",-4.22730243754587,4
"149","29830",-4.58894699596813,8
"150","45275",-4.95396672163288,1
"151","47816",-5.16642014130863,2
"152","43344",-5.41355568077865,1
"153","52584",-5.4838216344897,3
"154","48742",-8.06808795012882,2
"155","37737",-8.11202371362577,2
"156","44029;46130",-9.88983419160348,1
"157","44923;45555",-10.9549702533448,1
